rho,mean,variance,std,sharpe,n
1.0,5.929148174061105,2.02641701223128,1.4235227473529461,4.165123588707249,100000
3.0,6.743193805234581,2.239351845319009,1.4964464057623343,4.506137860513219,100000
5.0,7.6260139918543395,2.2724093281195885,1.5074512689037707,5.058879281318348,100000
7.0,8.958646615361124,2.495802973389006,1.5798110562307779,5.670707633060425,100000
9.0,10.559197853670716,2.645115458625864,1.6263810926796536,6.492449956039024,100000
