Wall time,Step,Value
1769068671.4698627,200000,0.012362679466605186
1769068678.8852758,300000,0.009434948675334454
1769068685.6422758,400000,0.004379874560981989
1769068693.1512687,500000,0.0041167475283145905
1769068699.7986517,600000,0.006515911314636469
1769068706.4464674,700000,0.012287798337638378
1769068713.3694825,800000,0.004197428468614817
1769068720.5930805,900000,0.017985083162784576
1769068728.4401562,1000000,0.0049201613292098045
1769068735.342401,1100000,0.0053719873540103436
1769068742.3254135,1200000,0.016250096261501312
1769068749.600091,1300000,0.009297876618802547
1769068756.7332716,1400000,0.0253243837505579
1769068764.1417782,1500000,0.00969427078962326
1769068770.787612,1600000,0.011699623428285122
1769068777.3616507,1700000,0.011736019514501095
1769068783.9436543,1800000,0.003815672593191266
1769068790.5507438,1900000,0.007249316666275263
1769068798.1464553,2000000,0.006195290479809046
1769068804.8858867,2100000,0.00913170538842678
1769068811.5020854,2200000,0.012126266956329346
1769068818.1244338,2300000,0.005494803190231323
1769068824.7299542,2400000,0.015276874415576458
1769068832.119459,2500000,0.009071622975170612
1769068838.764643,2600000,0.011129574850201607
1769068845.3564544,2700000,0.004725282546132803
1769068852.0082462,2800000,0.004347686655819416
1769068858.6455393,2900000,0.009804961271584034
1769068866.1338253,3000000,0.006672570016235113
1769068873.654151,3100000,0.004841168411076069
1769068880.3572838,3200000,0.0074705881997942924
1769068886.9629004,3300000,0.0067557161673903465
1769068893.548968,3400000,0.014871334657073021
1769068900.9906867,3500000,0.016165465116500854
1769068907.9108284,3600000,0.009167819283902645
1769068914.5754638,3700000,0.006147536914795637
1769068921.7332516,3800000,0.003730400698259473
1769068928.4125843,3900000,0.005045217927545309
1769068935.8361502,4000000,0.009372730739414692
1769068942.446546,4100000,0.0052864206954836845
1769068949.0975046,4200000,0.003654699306935072
1769068955.6987789,4300000,0.016668735072016716
1769068962.2915614,4400000,0.0034379989374428988
1769068969.7982442,4500000,0.006942020263522863
1769068976.5591943,4600000,0.004465279635041952
1769068983.233443,4700000,0.01574823260307312
1769068989.8516932,4800000,0.0037211342714726925
1769068996.5553036,4900000,0.011265531182289124
1769069004.0753863,5000000,0.006548787001520395
1769069010.9264846,5100000,0.0033858909737318754
1769069017.6455503,5200000,0.004752791486680508
1769069024.2570062,5300000,0.004001534078270197
1769069030.9198837,5400000,0.013486383482813835
1769069038.4795182,5500000,0.006402065511792898
1769069045.3518286,5600000,0.004991825670003891
1769069052.1286643,5700000,0.007844222709536552
1769069058.8013806,5800000,0.012337351217865944
1769069065.5270078,5900000,0.005908411927521229
1769069072.931493,6000000,0.024409327656030655
1769069079.5898046,6100000,0.0030347523279488087
1769069086.3026228,6200000,0.0035132020711898804
1769069092.9659157,6300000,0.0030768089927732944
1769069099.6277578,6400000,0.00429390836507082
1769069107.108218,6500000,0.002111497800797224
1769069113.7401202,6600000,0.003992563113570213
1769069120.333071,6700000,0.011264519765973091
1769069126.9941766,6800000,0.0143119590356946
1769069133.598176,6900000,0.0049542831256985664
1769069141.0009608,7000000,0.013982218690216541
1769069147.6319623,7100000,0.0034101486671715975
1769069154.3440788,7200000,0.007512553595006466
1769069160.9403882,7300000,0.0017562737921252847
1769069167.7515967,7400000,0.004295894410461187
1769069175.2169785,7500000,0.00424629170447588
1769069181.828471,7600000,0.01614956744015217
1769069188.4217188,7700000,0.007055769208818674
1769069195.0604837,7800000,0.005421551875770092
1769069201.6222022,7900000,0.0028806570917367935
1769069209.0421724,8000000,0.0032585766166448593
1769069215.6941752,8100000,0.016200371086597443
1769069222.3014097,8200000,0.0027167622465640306
1769069228.8765767,8300000,0.004167365841567516
1769069235.5532923,8400000,0.005371447652578354
1769069243.1430182,8500000,0.005138778127729893
1769069249.7545545,8600000,0.010953831486403942
1769069256.4077778,8700000,0.004994806367903948
1769069263.1861432,8800000,0.003937899135053158
1769069269.8521361,8900000,0.007890437729656696
1769069277.4412205,9000000,0.004114157520234585
1769069284.1465147,9100000,0.003777574049308896
1769069290.794371,9200000,0.006920975632965565
1769069297.4660926,9300000,0.010117324069142342
1769069304.0586529,9400000,0.00226180930621922
1769069311.5264504,9500000,0.002125534927472472
1769069318.1936677,9600000,0.0037948614917695522
1769069324.9442158,9700000,0.004714219365268946
1769069331.5422304,9800000,0.0041976142674684525
1769069338.156362,9900000,0.008652846328914165
1769069345.6022956,10000000,0.007414518389850855
1769069352.4546316,10100000,0.004735044669359922
1769069359.0860426,10200000,0.005330734420567751
1769069365.725214,10300000,0.004652092698961496
1769069372.3200567,10400000,0.00723151583224535
1769069379.7876604,10500000,0.010598370805382729
1769069386.4132915,10600000,0.003580307587981224
1769069393.0455327,10700000,0.0047508287243545055
1769069399.6677334,10800000,0.003462927881628275
1769069406.3218133,10900000,0.006202399265021086
1769069413.7315178,11000000,0.004134716931730509
1769069420.3854105,11100000,0.0035595851950347424
1769069427.0679266,11200000,0.005429910030215979
1769069433.6905167,11300000,0.0033682144712656736
1769069440.3369746,11400000,0.00556598836556077
1769069447.7550883,11500000,0.005331994965672493
1769069454.3324015,11600000,0.0048470525071024895
1769069461.0301034,11700000,0.011753479018807411
1769069467.6733146,11800000,0.005847358610481024
1769069474.301212,11900000,0.006964473519474268
1769069481.7150338,12000000,0.004729802720248699
1769069488.3644075,12100000,0.01845882274210453
1769069495.114447,12200000,0.007729814387857914
1769069501.7438555,12300000,0.005126992706209421
1769069508.4263287,12400000,0.005980231333523989
1769069515.882583,12500000,0.003982177935540676
1769069522.591711,12600000,0.003929263446480036
1769069529.2165637,12700000,0.0048403204418718815
1769069535.8333616,12800000,0.005653458647429943
1769069542.4532409,12900000,0.004823149181902409
1769069549.86844,13000000,0.0036254979204386473
1769069556.6785908,13100000,0.010207557119429111
1769069563.307591,13200000,0.011694162152707577
1769069569.9650357,13300000,0.004895774181932211
1769069576.7634501,13400000,0.003819649340584874
1769069584.2326465,13500000,0.006547880358994007
1769069590.9415264,13600000,0.010520339012145996
1769069597.5691988,13700000,0.0044084107503294945
1769069604.2452788,13800000,0.0047775511629879475
1769069610.897412,13900000,0.005982403643429279
1769069618.3494458,14000000,0.009533854201436043
1769069625.1721194,14100000,0.006650191731750965
1769069631.8228893,14200000,0.004743465222418308
1769069638.4192805,14300000,0.003887677565217018
1769069645.098821,14400000,0.0029192338697612286
1769069652.5518448,14500000,0.004364506341516972
1769069659.2065368,14600000,0.0030533955432474613
1769069665.8288722,14700000,0.0052383700385689735
1769069672.5013437,14800000,0.01137571595609188
1769069679.0825253,14900000,0.003639388829469681
1769069686.7427337,15000000,0.007265039719641209
1769069693.4114797,15100000,0.012437808327376842
1769069700.503016,15200000,0.007544678635895252
1769069707.5617461,15300000,0.006391814909875393
1769069714.2948954,15400000,0.009272103197872639
1769069721.7641335,15500000,0.005255355499684811
1769069728.4597201,15600000,0.00619945814833045
1769069735.1936142,15700000,0.005536956246942282
1769069741.8932157,15800000,0.0028253241907805204
1769069748.5618067,15900000,0.0031700446270406246
1769069756.108196,16000000,0.0030806593131273985
1769069763.0892649,16100000,0.005789506249129772
1769069769.7695785,16200000,0.00504583353176713
1769069776.4554849,16300000,0.007995916530489922
1769069783.1452153,16400000,0.004726277198642492
1769069790.568262,16500000,0.002780300099402666
1769069797.2876606,16600000,0.005848511587828398
1769069803.9206908,16700000,0.002213879255577922
1769069810.6118534,16800000,0.003916810266673565
1769069817.2743104,16900000,0.004194419365376234
1769069824.848747,17000000,0.0042042201384902
1769069832.633204,17100000,0.0032154549844563007
1769069839.5614324,17200000,0.0063131325878202915
1769069846.2609906,17300000,0.004579192493110895
1769069852.933698,17400000,0.005190527532249689
1769069860.437486,17500000,0.004856452811509371
1769069867.1962976,17600000,0.006179741583764553
1769069873.9143794,17700000,0.0031989552080631256
1769069880.629826,17800000,0.006454109214246273
1769069887.2956223,17900000,0.0034843478351831436
1769069895.0118093,18000000,0.004818151704967022
1769069901.6667182,18100000,0.007886528968811035
1769069908.3234088,18200000,0.00601020734757185
1769069915.0272052,18300000,0.007225346751511097
1769069921.700869,18400000,0.0033847331069409847
1769069929.202545,18500000,0.0040300870314240456
1769069935.9035087,18600000,0.009803695604205132
