4.451550245285034180e-01,4.367302656173706055e-01,4.291116297245025635e-01,4.217748641967773438e-01,4.135487675666809082e-01,4.025360941886901855e-01,3.866170644760131836e-01,3.648101091384887695e-01,3.384208977222442627e-01,3.104375004768371582e-01,2.840837836265563965e-01,2.615565061569213867e-01,2.423701733350753784e-01,2.224818915128707886e-01,1.952479928731918335e-01,1.541664898395538330e-01,9.806632995605468750e-02,3.367030993103981018e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.463809132575988770e-01,4.370217323303222656e-01,4.285495877265930176e-01,4.205608069896697998e-01,4.120195508003234863e-01,4.011124372482299805e-01,3.855280578136444092e-01,3.637195825576782227e-01,3.366132676601409912e-01,3.074340820312500000e-01,2.796902656555175781e-01,2.553567588329315186e-01,2.333212941884994507e-01,2.087290138006210327e-01,1.741071194410324097e-01,1.233474910259246826e-01,5.819982662796974182e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.486191272735595703e-01,4.383566379547119141e-01,4.289397001266479492e-01,4.201279282569885254e-01,4.110324978828430176e-01,3.999535441398620605e-01,3.845012187957763672e-01,3.626548051834106445e-01,3.348296880722045898e-01,3.043544888496398926e-01,2.750267386436462402e-01,2.485563009977340698e-01,2.230531424283981323e-01,1.925749331712722778e-01,1.486772298812866211e-01,8.675570785999298096e-02,1.216097548604011536e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.518674612045288086e-01,4.409012794494628906e-01,4.305878579616546631e-01,4.208591282367706299e-01,4.110023379325866699e-01,3.994567692279815674e-01,3.838436603546142578e-01,3.618028163909912109e-01,3.331944346427917480e-01,3.013028204441070557e-01,2.701882123947143555e-01,2.412472516298294067e-01,2.115962654352188110e-01,1.737360209226608276e-01,1.184298545122146606e-01,4.446740821003913879e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.562308192253112793e-01,4.447563290596008301e-01,4.336946010589599609e-01,4.230514168739318848e-01,4.122813344001770020e-01,3.999907970428466797e-01,3.838797807693481445e-01,3.613892197608947754e-01,3.318687081336975098e-01,2.984429597854614258e-01,2.653863430023193359e-01,2.337094396352767944e-01,1.991845220327377319e-01,1.521459221839904785e-01,8.382250368595123291e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.623605012893676758e-01,4.502817392349243164e-01,4.384882450103759766e-01,4.269125163555145264e-01,4.150844216346740723e-01,4.017761945724487305e-01,3.848215937614440918e-01,3.615831732749938965e-01,3.310005664825439453e-01,2.959974706172943115e-01,2.610111236572265625e-01,2.265147119760513306e-01,1.864059269428253174e-01,1.286450624465942383e-01,4.765682294964790344e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.716165065765380859e-01,4.585105180740356445e-01,4.456342458724975586e-01,4.328312873840332031e-01,4.196076393127441406e-01,4.048609435558319092e-01,3.866255879402160645e-01,3.623169362545013428e-01,3.305880129337310791e-01,2.941845953464508057e-01,2.576332092285156250e-01,2.205412536859512329e-01,1.744819879531860352e-01,1.061338782310485840e-01,1.558639481663703918e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.851880669593811035e-01,4.709001779556274414e-01,4.565187096595764160e-01,4.419062137603759766e-01,4.265850484371185303e-01,4.095580875873565674e-01,3.891510963439941406e-01,3.631269037723541260e-01,3.301593363285064697e-01,2.928882241249084473e-01,2.556488215923309326e-01,2.165517657995223999e-01,1.653552353382110596e-01,8.933159708976745605e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.034250020980834961e-01,4.883109331130981445e-01,4.725702404975891113e-01,4.559333324432373047e-01,4.378758668899536133e-01,4.174601435661315918e-01,3.932697176933288574e-01,3.637368679046630859e-01,3.284851312637329102e-01,2.907411754131317139e-01,2.539466619491577148e-01,2.138019949197769165e-01,1.604332476854324341e-01,8.185927569866180420e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.267262458801269531e-01,5.111083388328552246e-01,4.944347143173217773e-01,4.761745929718017578e-01,4.554998278617858887e-01,4.311946332454681396e-01,4.017023146152496338e-01,3.658362925052642822e-01,3.249850571155548096e-01,2.851269841194152832e-01,2.492031306028366089e-01,2.100766748189926147e-01,1.597630232572555542e-01,8.425435423851013184e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
