parameter,n,mean,variance,std,sem,ci95_low,ci95_high,sharpe
1.0,100000,5.929148174061105,2.0264170122312795,1.4235227473529461,0.004501574182695737,5.920325088663021,5.9379712594591885,4.165123588707249
3.0,100000,6.743193805234581,2.2393518453190087,1.4964464057623341,0.004732179038581494,6.733918734318961,6.752468876150201,4.50613786051322
5.0,100000,7.6260139918543395,2.272409328119588,1.5074512689037707,0.00476697947144687,7.616670712090303,7.635357271618376,5.058879281318348
7.0,100000,8.958646615361124,2.4958029733890053,1.5798110562307777,0.004995801210405599,8.948854844988729,8.968438385733519,5.670707633060426
9.0,100000,10.559197853670716,2.6451154586258636,1.6263810926796536,0.005143068596301106,10.549117439221966,10.569278268119465,6.492449956039024
