rho,n,mean,variance,std,sem,ci95_low,ci95_high,sharpe
1.0,100000,5.546032312950343,1.9332486367615849,1.3904131173006047,0.0043968723392447786,5.5374144431654235,5.554650182735263,3.98876581639103
3.0,100000,5.077411776722707,2.2821703489978082,1.5106853904760609,0.0047772066618451915,5.068048451665491,5.086775101779923,3.3609987948070823
5.0,100000,4.643038899476543,2.3412834035889216,1.5301252901605547,0.004838681022333381,4.6335550846727696,4.652522714280316,3.0344174619774784
7.0,100000,4.486107298029827,3.1165706353987908,1.7653811586733306,0.005582625399754842,4.475165352246307,4.497049243813347,2.5411550791677757
9.0,100000,3.6657975503161153,3.743928396757616,1.934923356817426,0.006118764905401756,3.653804771101528,3.6777903295307026,1.8945440590192895
