rho_c,mean,variance,std,sharpe,n
1.0,3.6408930685707928,0.8943089397312892,0.9456790891900324,3.850030216581391,100000
2.0,2.7637043276176976,0.5932674092869528,0.7702385405099856,3.5881148271129235,100000
3.0,2.29861357332787,0.4815519000862641,0.6939394066388391,3.3124125122990513,100000
4.0,1.974926487875022,0.43219037928496573,0.6574118794826921,3.004093095228311,100000
5.0,1.7156545280175086,0.40886334708612154,0.6394242309188177,2.68312404356683,100000
