Wall time,Step,Value
1783879425.3864582,200000,0.005486433394253254
1783879430.3150551,300000,0.004359330981969833
1783879434.5306282,400000,0.00765241077169776
1783879439.543404,500000,0.0047952160239219666
1783879443.808767,600000,0.007195474114269018
1783879448.178072,700000,0.003759099869057536
1783879452.343491,800000,0.005604049656540155
1783879456.484538,900000,0.00702347606420517
1783879461.662184,1000000,0.00809253379702568
1783879465.9386592,1100000,0.02638198435306549
1783879470.128312,1200000,0.010535200126469135
1783879474.288245,1300000,0.006038527004420757
1783879478.459908,1400000,0.018076453357934952
1783879483.561033,1500000,0.011074120178818703
1783879487.763062,1600000,0.004310271702706814
1783879491.917506,1700000,0.0038035735487937927
1783879496.0699,1800000,0.005102147813886404
1783879500.334699,1900000,0.004571777302771807
1783879505.3377972,2000000,0.019429277628660202
1783879509.512734,2100000,0.00976666808128357
1783879513.726567,2200000,0.01963479444384575
1783879518.2462249,2300000,0.007667082361876965
1783879522.3967931,2400000,0.01210741512477398
1783879527.254961,2500000,0.011603775434195995
1783879531.5081868,2600000,0.005823022685945034
1783879535.658827,2700000,0.01188100129365921
1783879539.7859929,2800000,0.00851111114025116
1783879543.925367,2900000,0.00647397106513381
1783879548.8650382,3000000,0.006115450523793697
1783879553.011911,3100000,0.005901091732084751
1783879557.142832,3200000,0.007661507464945316
1783879561.386645,3300000,0.004904449917376041
1783879565.557708,3400000,0.0044357613660395145
1783879570.466538,3500000,0.005955766420811415
1783879574.578872,3600000,0.007043726742267609
1783879578.783874,3700000,0.005611891392618418
1783879582.944033,3800000,0.005946500226855278
1783879586.985884,3900000,0.0071898349560797215
1783879592.117332,4000000,0.004909266252070665
1783879596.742826,4100000,0.004950392059981823
1783879600.7969768,4200000,0.008848225697875023
1783879604.852431,4300000,0.004896829836070538
1783879608.9452548,4400000,0.010162151418626308
1783879614.4800892,4500000,0.009721549227833748
1783879618.6714509,4600000,0.0038581385742872953
1783879622.778523,4700000,0.008200844749808311
