q_values,delta_minus_fixed_-10,delta_plus_fixed_-10,delta_minus_fixed_-5,delta_plus_fixed_-5,delta_minus_fixed_0,delta_plus_fixed_0,delta_minus_fixed_5,delta_plus_fixed_5,delta_minus_fixed_10,delta_plus_fixed_10
-1.000000000000000000e+01,2.915360927581787109e-01,7.651368379592895508e-01,8.589909970760345459e-02,7.470737099647521973e-01,0.000000000000000000e+00,7.968907952308654785e-01,0.000000000000000000e+00,9.054228663444519043e-01,2.568687498569488525e-02,9.554638266563415527e-01
-9.000000000000000000e+00,3.095414042472839355e-01,7.534265518188476562e-01,1.092725843191146851e-01,7.339141368865966797e-01,0.000000000000000000e+00,7.765169739723205566e-01,0.000000000000000000e+00,8.844815492630004883e-01,7.500757277011871338e-02,9.264554381370544434e-01
-8.000000000000000000e+00,3.281097412109375000e-01,7.382670044898986816e-01,1.384792625904083252e-01,7.187636494636535645e-01,0.000000000000000000e+00,7.521169781684875488e-01,0.000000000000000000e+00,8.588501811027526855e-01,1.293046325445175171e-01,8.928859233856201172e-01
-7.000000000000000000e+00,3.480997085571289062e-01,7.199236750602722168e-01,1.737385839223861694e-01,7.011815309524536133e-01,0.000000000000000000e+00,7.232254743576049805e-01,0.000000000000000000e+00,8.271757364273071289e-01,1.840422898530960083e-01,8.542137742042541504e-01
-6.000000000000000000e+00,3.697625398635864258e-01,6.978579163551330566e-01,2.141400426626205444e-01,6.807823777198791504e-01,0.000000000000000000e+00,6.897003650665283203e-01,6.558492779731750488e-03,7.878538370132446289e-01,2.325395494699478149e-01,8.100104928016662598e-01
-5.000000000000000000e+00,3.923262953758239746e-01,6.689334511756896973e-01,2.580894231796264648e-01,6.560378074645996094e-01,0.000000000000000000e+00,6.513347029685974121e-01,7.061658799648284912e-02,7.398085594177246094e-01,2.716692686080932617e-01,7.599006295204162598e-01
-4.000000000000000000e+00,4.141156673431396484e-01,6.290449500083923340e-01,3.042657375335693359e-01,6.224767565727233887e-01,4.121203720569610596e-02,6.063894629478454590e-01,1.426403969526290894e-01,6.830062866210937500e-01,3.036686182022094727e-01,7.039053440093994141e-01
-3.000000000000000000e+00,4.334455728530883789e-01,5.807771086692810059e-01,3.504294753074645996e-01,5.741503238677978516e-01,1.143295615911483765e-01,5.505313873291015625e-01,2.112664729356765747e-01,6.175877451896667480e-01,3.339605331420898438e-01,6.431807279586791992e-01
-2.000000000000000000e+00,4.499297738075256348e-01,5.367475152015686035e-01,3.907649517059326172e-01,5.123901963233947754e-01,1.956441551446914673e-01,4.814570546150207520e-01,2.699020504951477051e-01,5.445627570152282715e-01,3.678607344627380371e-01,5.800352692604064941e-01
-1.000000000000000000e+00,4.652428627014160156e-01,5.047456026077270508e-01,4.185159206390380859e-01,4.599537849426269531e-01,2.639551758766174316e-01,4.055632948875427246e-01,3.259239196777343750e-01,4.668861031532287598e-01,4.089601635932922363e-01,5.173733234405517578e-01
0.000000000000000000e+00,4.823660850524902344e-01,4.823660850524902344e-01,4.353584051132202148e-01,4.353584051132202148e-01,3.290266394615173340e-01,3.290266394615173340e-01,3.909152746200561523e-01,3.909152746200561523e-01,4.590843915939331055e-01,4.590843915939331055e-01
1.000000000000000000e+00,5.047456026077270508e-01,4.652428627014160156e-01,4.599537849426269531e-01,4.185159206390380859e-01,4.055632948875427246e-01,2.639551758766174316e-01,4.668861031532287598e-01,3.259239196777343750e-01,5.173733234405517578e-01,4.089601635932922363e-01
2.000000000000000000e+00,5.367475152015686035e-01,4.499297738075256348e-01,5.123901963233947754e-01,3.907649517059326172e-01,4.814570546150207520e-01,1.956441551446914673e-01,5.445627570152282715e-01,2.699020504951477051e-01,5.800352692604064941e-01,3.678607344627380371e-01
3.000000000000000000e+00,5.807771086692810059e-01,4.334455728530883789e-01,5.741503238677978516e-01,3.504294753074645996e-01,5.505313873291015625e-01,1.143295615911483765e-01,6.175877451896667480e-01,2.112664729356765747e-01,6.431807279586791992e-01,3.339605331420898438e-01
4.000000000000000000e+00,6.290449500083923340e-01,4.141156673431396484e-01,6.224767565727233887e-01,3.042657375335693359e-01,6.063894629478454590e-01,4.121203720569610596e-02,6.830062866210937500e-01,1.426403969526290894e-01,7.039053440093994141e-01,3.036686182022094727e-01
5.000000000000000000e+00,6.689334511756896973e-01,3.923262953758239746e-01,6.560378074645996094e-01,2.580894231796264648e-01,6.513347029685974121e-01,0.000000000000000000e+00,7.398085594177246094e-01,7.061658799648284912e-02,7.599006295204162598e-01,2.716692686080932617e-01
6.000000000000000000e+00,6.978579163551330566e-01,3.697625398635864258e-01,6.807823777198791504e-01,2.141400426626205444e-01,6.897003650665283203e-01,0.000000000000000000e+00,7.878538370132446289e-01,6.558492779731750488e-03,8.100104928016662598e-01,2.325395494699478149e-01
7.000000000000000000e+00,7.199236750602722168e-01,3.480997085571289062e-01,7.011815309524536133e-01,1.737385839223861694e-01,7.232254743576049805e-01,0.000000000000000000e+00,8.271757364273071289e-01,0.000000000000000000e+00,8.542137742042541504e-01,1.840422898530960083e-01
8.000000000000000000e+00,7.382670044898986816e-01,3.281097412109375000e-01,7.187636494636535645e-01,1.384792625904083252e-01,7.521169781684875488e-01,0.000000000000000000e+00,8.588501811027526855e-01,0.000000000000000000e+00,8.928859233856201172e-01,1.293046325445175171e-01
9.000000000000000000e+00,7.534265518188476562e-01,3.095414042472839355e-01,7.339141368865966797e-01,1.092725843191146851e-01,7.765169739723205566e-01,0.000000000000000000e+00,8.844815492630004883e-01,0.000000000000000000e+00,9.264554381370544434e-01,7.500757277011871338e-02
1.000000000000000000e+01,7.651368379592895508e-01,2.915360927581787109e-01,7.470737099647521973e-01,8.589909970760345459e-02,7.968907952308654785e-01,0.000000000000000000e+00,9.054228663444519043e-01,0.000000000000000000e+00,9.554638266563415527e-01,2.568687498569488525e-02
