rho,mean_trained,std_trained,mean_fixed,std_fixed
1.0,5.929148174061105,1.4235227473529461,5.768015169911813,1.4881452339364063
3.0,6.743193805234581,1.4964464057623341,6.023717569793055,1.7005350072096495
5.0,7.6260139918543395,1.5074512689037707,5.559429776981142,2.0546636600668675
7.0,8.958646615361124,1.5798110562307777,4.371648389016133,2.489055944700966
9.0,10.559197853670716,1.6263810926796536,2.8444445774920077,2.5315066885489204
