Wall time,Step,Value
1769068693.1512687,500000,-5.122880935668945
1769068728.4401562,1000000,-5.3532938957214355
1769068764.1417782,1500000,-2.459960699081421
1769068798.1464553,2000000,1.320500373840332
1769068832.119459,2500000,1.6414357423782349
1769068866.1338253,3000000,1.973915934562683
1769068900.9906867,3500000,2.120802164077759
1769068935.8361502,4000000,2.452120304107666
1769068969.7982442,4500000,2.729918956756592
1769069004.0743823,5000000,2.8237006664276123
1769069038.4795182,5500000,3.169213056564331
1769069072.931493,6000000,3.1425535678863525
1769069107.108218,6500000,3.080749988555908
1769069141.0009608,7000000,3.2294764518737793
1769069175.2169785,7500000,3.282045841217041
1769069209.0421724,8000000,2.810365676879883
1769069243.1430182,8500000,2.6989452838897705
1769069277.4412205,9000000,2.6178016662597656
1769069311.5264504,9500000,2.8155884742736816
1769069345.6022956,10000000,2.7703847885131836
1769069379.7876604,10500000,2.690840721130371
1769069413.7315178,11000000,2.7948036193847656
1769069447.7550883,11500000,2.7014031410217285
1769069481.7150338,12000000,2.8769564628601074
1769069515.882583,12500000,2.7302772998809814
1769069549.86844,13000000,3.044229030609131
1769069584.2326465,13500000,2.903747081756592
1769069618.3494458,14000000,3.024568796157837
1769069652.5518448,14500000,3.2572786808013916
1769069686.7427337,15000000,3.3729591369628906
1769069721.7641335,15500000,3.4998514652252197
1769069756.108196,16000000,3.577456474304199
1769069790.568262,16500000,3.877047538757324
1769069824.848747,17000000,4.051814556121826
1769069860.437486,17500000,4.062835216522217
1769069895.0118093,18000000,4.075801372528076
1769069929.202545,18500000,4.193509578704834
1769069963.4684188,19000000,3.6065030097961426
1769069997.8881779,19500000,3.920895576477051
1769070032.3247273,20000000,4.134247779846191
1769070066.598811,20500000,4.292333602905273
1769070100.9851658,21000000,4.388706207275391
1769070135.353032,21500000,4.3402323722839355
1769070169.8313477,22000000,4.1359453201293945
1769070204.3522198,22500000,4.1924285888671875
1769070238.482017,23000000,4.391201972961426
1769070273.0195868,23500000,4.492100238800049
1769070308.5808346,24000000,4.265751838684082
1769070342.8697257,24500000,4.449613094329834
1769070377.1394906,25000000,4.288562297821045
1769070411.2892783,25500000,4.267277240753174
1769070445.381089,26000000,4.360225677490234
1769070479.523704,26500000,4.500878810882568
1769070513.5807714,27000000,4.3293681144714355
1769070547.7857242,27500000,4.224933624267578
1769070581.9221668,28000000,4.434175968170166
1769070616.2182884,28500000,4.673467636108398
1769070650.2299817,29000000,4.73529577255249
1769070684.5947535,29500000,4.788689613342285
1769070719.1430707,30000000,4.621535301208496
1769070753.3082273,30500000,4.651370048522949
1769070787.8030994,31000000,4.606396198272705
1769070821.9046726,31500000,4.722153186798096
1769070856.2519493,32000000,4.657458782196045
1769070891.2115562,32500000,4.656752109527588
1769070925.6456366,33000000,4.685332775115967
1769070959.7183783,33500000,4.583330154418945
1769070994.1649113,34000000,4.594928741455078
1769071028.5727355,34500000,4.605674743652344
1769071062.9042299,35000000,4.582965850830078
1769071097.2951453,35500000,4.603723526000977
1769071131.6906288,36000000,4.539252758026123
1769071166.0220964,36500000,4.637828350067139
1769071200.5413294,37000000,4.658727645874023
1769071234.6628952,37500000,4.574460506439209
1769071269.1519203,38000000,4.616947174072266
1769071303.2869742,38500000,4.714863300323486
1769071337.8393002,39000000,4.827334403991699
1769071371.9746993,39500000,4.739881992340088
1769071406.6139195,40000000,4.7333855628967285
1769071441.0476182,40500000,4.5990400314331055
1769071475.559308,41000000,4.533021450042725
1769071509.873334,41500000,4.495224475860596
1769071544.2187026,42000000,4.440267562866211
1769071578.53045,42500000,4.513019561767578
1769071613.0252178,43000000,4.597646713256836
1769071647.4438236,43500000,4.538704872131348
1769071681.8606527,44000000,4.544946193695068
1769071716.0534437,44500000,4.6703057289123535
1769071750.4302824,45000000,4.740880012512207
1769071784.942767,45500000,4.740092754364014
1769071819.3170161,46000000,4.748134613037109
1769071853.6353745,46500000,4.83221435546875
1769071888.023612,47000000,4.947853088378906
1769071922.5347285,47500000,4.931262969970703
1769071956.9326425,48000000,4.867952823638916
1769071991.4480896,48500000,4.89449405670166
1769072025.774894,49000000,4.935195446014404
1769072060.1451445,49500000,5.02512788772583
1769072094.5720944,50000000,4.894014835357666
1769072128.939766,50500000,4.948855400085449
1769072163.661596,51000000,4.992455959320068
1769072198.1600614,51500000,5.043045997619629
1769072232.623898,52000000,5.029394626617432
1769072267.1160238,52500000,4.989424228668213
1769072301.5169237,53000000,5.027561664581299
1769072335.7558331,53500000,5.073938369750977
1769072370.3175356,54000000,5.019255638122559
1769072404.7742121,54500000,4.932979583740234
1769072439.2150612,55000000,4.975832462310791
1769072473.6777437,55500000,4.870789051055908
1769072508.402982,56000000,4.97915506362915
1769072543.098759,56500000,5.0460920333862305
1769072577.6410682,57000000,5.0300984382629395
1769072612.2208622,57500000,5.07132625579834
1769072646.8797944,58000000,5.053844928741455
1769072681.4535987,58500000,5.038079261779785
1769072716.0157952,59000000,5.045655250549316
1769072750.4739263,59500000,5.093410491943359
1769072784.9690595,60000000,5.055975437164307
1769072819.3702054,60500000,5.092143535614014
1769072853.8274271,61000000,5.058794021606445
1769072888.6867087,61500000,4.980001926422119
1769072923.1591218,62000000,4.891354560852051
1769072957.677962,62500000,4.838286876678467
1769072992.2741325,63000000,4.869579315185547
1769073026.935459,63500000,4.858444690704346
1769073061.475131,64000000,4.986114025115967
1769073096.0589066,64500000,4.996523380279541
1769073130.6183102,65000000,5.013627052307129
1769073165.3753085,65500000,5.046469688415527
1769073200.144434,66000000,5.035244464874268
1769073234.7764206,66500000,5.046576023101807
1769073269.387356,67000000,5.036701202392578
1769073304.0460656,67500000,5.014407634735107
1769073338.6888902,68000000,4.9724836349487305
1769073373.4061706,68500000,4.95785665512085
1769073407.9836102,69000000,5.097128868103027
1769073443.3771403,69500000,5.060636520385742
1769073478.1138947,70000000,5.049402713775635
1769073512.8025482,70500000,4.957895278930664
1769073547.3879383,71000000,4.965649604797363
1769073582.0332463,71500000,4.959779262542725
1769073616.737099,72000000,5.01162576675415
1769073651.3342876,72500000,4.982163906097412
1769073685.9691725,73000000,5.094843864440918
1769073720.6272223,73500000,5.03474760055542
1769073755.2440882,74000000,4.9982500076293945
1769073790.1817448,74500000,5.010034084320068
1769073824.77081,75000000,5.03753662109375
1769073859.6086733,75500000,5.0445098876953125
1769073894.05732,76000000,5.069649696350098
1769073928.4420269,76500000,5.079410552978516
1769073962.5184941,77000000,5.108071327209473
1769073996.5465882,77500000,5.092540264129639
1769074030.5915987,78000000,5.103514194488525
1769074064.5558548,78500000,5.0853142738342285
1769074098.5675607,79000000,5.115584373474121
1769074132.6273665,79500000,5.135706424713135
1769074166.753731,80000000,5.108316421508789
1769074200.799847,80500000,5.133972644805908
1769074234.9665117,81000000,5.17299222946167
1769074268.9315648,81500000,5.178438186645508
1769074302.922424,82000000,5.1930460929870605
1769074337.3815396,82500000,5.1845574378967285
1769074371.7357695,83000000,5.150974750518799
1769074405.9494019,83500000,5.132791996002197
1769074439.8685327,84000000,5.207161903381348
1769074473.9105763,84500000,5.2597126960754395
1769074508.1143508,85000000,5.250725269317627
1769074542.1092532,85500000,5.304662227630615
1769074576.2263575,86000000,5.260191440582275
1769074610.142078,86500000,5.244159698486328
1769074644.0409691,87000000,5.256872177124023
1769074678.014868,87500000,5.27768087387085
1769074712.1729217,88000000,5.286529064178467
1769074746.258167,88500000,5.279471397399902
1769074780.2729,89000000,5.281652450561523
