rho,n,mean,variance,std,sem,ci95_low,ci95_high,sharpe
1.0,100000,5.768015169911813,2.214576237287641,1.4881452339364063,0.004705928428363144,5.758791550192221,5.777238789631404,3.875975972220397
3.0,100000,6.023717569793055,2.8918193107455226,1.7005350072096495,0.005377563863633348,6.0131775446203335,6.034257594965776,3.542248494888188
5.0,100000,5.559429776981142,4.221642755999376,2.0546636600668675,0.006497416991389252,5.546694839678019,5.572164714284265,2.7057614757250414
7.0,100000,4.371648389016133,6.195399495851217,2.489055944700966,0.007871086008837165,4.356221060438812,4.387075717593453,1.7563479833882722
9.0,100000,2.8444445774920077,6.40852611416792,2.5315066885489204,0.008005327047765081,2.828754136478388,2.8601350185056273,1.1236172475303496
