rho,Non-myopic__mean,Non-myopic__std,Non-myopic__var,Non-myopic__sharpe,Myopic__mean,Myopic__std,Myopic__var,Myopic__sharpe,Random__mean,Random__std,Random__var,Random__sharpe,Const 0.5__mean,Const 0.5__std,Const 0.5__var,Const 0.5__sharpe,Const 1__mean,Const 1__std,Const 1__var,Const 1__sharpe,Const 1.5__mean,Const 1.5__std,Const 1.5__var,Const 1.5__sharpe,Const 2__mean,Const 2__std,Const 2__var,Const 2__sharpe
1,4.032096451996789,0.9703210414490253,0.941522923478721,4.155425142564643,3.309410818269034,1.0470624475894674,1.0963397691520465,3.160662313778814,-0.13646570821789217,1.732784520941068,3.0025421960129663,-0.07875515193532444,1.469086922971069,1.5519113471079435,2.408428829282392,0.9466306987888055,0.32836523927007727,0.7782765055389189,0.6057143190738709,0.42191333919645974,-0.08757548530188458,0.5282346294335274,0.279031823732776,-0.16578898925236973,-0.20745467537009954,0.37807033387606104,0.14293717735715625,-0.5487197930692634
2,3.087877843396962,0.8156631492654115,0.665306373069569,3.785726799326307,2.163145106262165,0.8629492898759008,0.7446814768973214,2.506688552433067,-0.3671948835823744,1.4944284249279973,2.233316317232775,-0.24570924740009956,0.767361191350976,1.0908332067967776,1.1899170850505416,0.7034633586231992,0.09060136188775984,0.6066120082562522,0.3679781285606834,0.1493563606632181,-0.1417855903487856,0.4505326823240573,0.20297969784210995,-0.31470655939407,-0.21978386357474472,0.34674350211395427,0.12023105625824981,-0.6338514268755198
3,2.503034121046327,0.7154342912493401,0.5118462250954456,3.4986219582449123,1.5021807384176566,0.7517417618020074,0.565115676437186,1.998266977767425,-0.47338645201757906,1.3401710908616764,1.7960585527813757,-0.353228371545614,0.4168580952992344,0.8382253546986015,0.7026217452595963,0.4973102912749794,0.00626090231321984,0.533588560532371,0.28471675193100776,0.011733576722434275,-0.15801607909098322,0.4253600585215417,0.18093117938544936,-0.3714878158523216,-0.22329511427479196,0.3367368716942848,0.11339172075845322,-0.6631145355460693
4,1.8654474167180806,0.6480615148377494,0.41998372701379855,2.8785036204242425,1.2795569770982151,0.6382197276585515,0.40732442077255565,2.004884715476517,-0.5271780090391901,1.2405580511688559,1.5389842783198697,-0.4249523096017007,0.23724280278941676,0.6861659780317465,0.4708237494082632,0.3457513347862904,-0.02956118133553664,0.49986369610391623,0.2498637146826683,-0.05913848428270572,-0.16489100146957028,0.4140512293287626,0.17143842050865957,-0.39823816424089026,-0.22479863144771528,0.3323305227544704,0.11044357635425957,-0.6764308905017403
5,1.843945423861863,0.6044673003846146,0.36538071723426385,3.0505296526190664,0.9259666500541925,0.5698757999154359,0.32475842732925797,1.6248569428489454,-0.5720034556949642,1.1926515967879951,1.4224178313209546,-0.4796064980212684,0.1416053759765784,0.6030688789489932,0.3636920727567954,0.23480796459496164,-0.04681415487021335,0.48262635352526806,0.232928197117097,-0.09699875385640826,-0.1680742132545012,0.40868449509680926,0.1670230165325339,-0.41125664240011783,-0.22561552010001015,0.32998001006658434,0.10888680704354312,-0.6837248112529144
