rho,Myopic_mean,Myopic_std,Myopic_var,Myopic_sharpe,Non-myopic_mean,Non-myopic_std,Non-myopic_var,Non-myopic_sharpe,mean_gap,sharpe_gap,welch_t,welch_p,welch_df
1,3.309410818269034,1.0470624475894674,1.0963397691520465,3.160662313778814,4.032096451996789,0.9703210414490253,0.941522923478721,4.155425142564643,0.7226856337277545,0.994762828785829,160.08917336477907,0.0,198850.3408287905
2,2.163145106262165,0.8629492898759008,0.7446814768973214,2.506688552433067,3.087877843396962,0.8156631492654115,0.665306373069569,3.785726799326307,0.9247327371347969,1.27903824689324,246.26831989185982,0.0,199366.185814622
3,1.5021807384176566,0.7517417618020074,0.565115676437186,1.998266977767425,2.503034121046327,0.7154342912493401,0.5118462250954456,3.4986219582449123,1.0008533826286705,1.5003549804774874,304.9792494571815,0.0,199509.88720677444
4,1.2795569770982151,0.6382197276585515,0.40732442077255565,2.004884715476517,1.8654474167180806,0.6480615148377494,0.41998372701379855,2.8785036204242425,0.5858904396198654,0.8736189049477256,203.69612186487967,0.0,199951.18239581404
5,0.9259666500541925,0.5698757999154359,0.32475842732925797,1.6248569428489454,1.843945423861863,0.6044673003846146,0.36538071723426385,3.0505296526190664,0.9179787738076706,1.425672709770121,349.43331527413727,0.0,199307.4755377004
